City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1528796,At-Bashi,49,KG,1593362205,57,41.17,75.81,45.07,7.16
3468317,Caetité,30,BR,1593362205,48,-14.07,-42.48,76.98,8.86
1651810,Airai,84,TL,1593361685,100,-8.93,125.41,56.97,3.24
3372745,Rabo de Peixe,40,PT,1593362205,83,37.8,-25.58,71.6,9.17
2155415,New Norfolk,46,AU,1593362200,91,-42.78,147.06,42.01,2.75
933995,Souillac,40,MU,1593362286,83,-20.52,57.52,71.6,8.05
5992154,Kindersley,90,CA,1593361966,100,51.47,-109.17,53.6,16.11
2980080,Saint-François,75,FR,1593362206,60,46.42,3.91,69.8,14.99
1738050,Marabu,20,MY,1593361721,94,4.41,114.01,78.8,1.12
2015852,Svetlaya,94,RU,1593361709,85,46.54,138.33,52.77,9.6
3424607,Tasiilaq,100,GL,1593361686,75,65.61,-37.64,46.4,17.22
2510573,Teguise,20,ES,1593361723,61,29.06,-13.56,78.8,25.28
475206,Verkhniy Avzyan,41,RU,1593362206,93,53.53,57.54,44.65,4.65
2121385,Severo-Kuril'sk,58,RU,1593362286,68,50.68,156.12,48.29,2.8
1641977,Kalianget,15,ID,1593362206,81,-7.05,113.93,80.24,9.62
2110227,Butaritari,25,KI,1593362287,73,3.07,172.79,82.47,13.71
1006984,East London,22,ZA,1593361687,46,-33.02,27.91,64.42,22.48
3870243,Taltal,100,CL,1593362207,61,-25.4,-70.48,63.66,4.07
2208248,Kaitangata,100,NZ,1593362215,72,-46.28,169.85,46.99,11.01
6089245,Norman Wells,20,CA,1593362207,58,65.28,-126.83,59.0,6.93
2013465,Verkhoyansk,71,RU,1593362207,64,67.54,133.38,65.1,5.1
1489138,Tselinnoye,100,RU,1593362207,74,53.08,85.67,56.41,6.76
3373652,Oistins,40,BB,1593361671,70,13.07,-59.53,87.8,13.87
2122493,Omsukchan,100,RU,1593362207,47,62.53,155.8,50.34,1.36
1282256,Hithadhoo,100,MV,1593362288,68,-0.6,73.08,85.68,8.21
4034438,Haapiti,20,PF,1593362208,83,-17.57,-149.87,69.8,2.24
3985168,San Patricio,5,MX,1593361740,74,19.22,-104.7,86.0,11.41
4176380,Venice,1,US,1593362208,74,27.1,-82.45,91.99,5.82
2127202,Anadyr,75,RU,1593362208,95,64.75,177.48,35.6,4.47
2090021,Namatanai,77,PG,1593361728,79,-3.67,152.43,79.5,6.87
3445026,Vila Velha,40,BR,1593361993,69,-20.33,-40.29,77.0,13.87
